#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
      90       1.7998       1.9857,      90       1.4215       4.3300,      90       1.7371       3.4376,      90       1.2767       3.6059,      90       1.9597       2.4086,      90       1.6129       2.5343,      90       1.8184       4.2910,      90       1.7886       3.5668,      90       1.3652       3.1111,      90       2.3949       2.8703
      91       1.7739       2.2311,      91       1.3650       4.4314,      91       1.9043       4.0661,      91       1.2704       2.8604,      91       1.8762       2.3856,      91       1.7865       2.4125,      91       1.5489       5.0813,      91       1.8912       3.8345,      91       1.5690       2.6346,      91       1.9345       2.7312
      92       2.0240       2.2073,      92       1.4014       4.4756,      92       1.7958       3.1341,      92       1.3566       2.4833,      92       1.8758       2.0035,      92       1.9784       2.7365,      92       1.5860       4.2969,      92       1.8596       2.6857,      92       1.3254       3.4108,      92       1.9004       2.7433
      93       2.2320       3.0079,      93       1.3937       4.2945,      93       1.7201       3.4565,      93       1.2249       3.2682,      93       2.1034       2.6656,      93       1.7524       2.1371,      93       1.6323       4.7621,      93       1.8152       2.7547,      93       1.3517       2.8530,      93       1.8774       3.0769
      94       1.7004       3.1632,      94       1.7116       5.1486,      94       1.9190       2.8628,      94       1.3329       2.0396,      94       2.1107       2.3818,      94       1.7634       1.9250,      94       1.8147       4.9957,      94       1.6364       2.9741,      94       1.4391       3.7300,      94       2.1035       2.7927
      95       1.7867       3.4703,      95       1.5558       5.0289,      95       1.8611       3.7211,      95       1.3392       1.5959,      95       1.9624       2.3596,      95       1.6860       2.4149,      95       1.7923       4.7826,      95       1.9101       3.4907,      95       1.4853       2.9345,      95       1.7840       2.5788
      96       1.9503       2.7509,      96       1.5047       5.4786,      96       1.7297       3.6354,      96       1.3592       1.7321,      96       1.9981       2.5272,      96       1.7035       2.0226,      96       1.6334       4.3559,      96       1.5684       2.8880,      96       1.6299       4.0855,      96       2.3789       2.7197
      97       1.7176       3.5573,      97       1.7263       4.9439,      97       1.8792       3.8555,      97       1.4492       1.5311,      97       2.0097       2.3815,      97       1.6488       1.9034,      97       1.9021       4.8839,      97       1.5096       3.6381,      97       1.5538       3.1667,      97       1.8254       2.8307
      98       1.8796       2.7409,      98       1.5709       4.3340,      98       1.7437       2.6227,      98       1.5388       1.9727,      98       2.2837       3.1084,      98       1.6792       2.6120,      98       1.7703       3.8499,      98       1.8530       3.0348,      98       1.6988       3.0290,      98       2.2502       3.5296
      99       1.7871       2.4400,      99       1.4843       4.4522,      99       1.7046       4.7039,      99       1.8667       2.5275,      99       2.2907       2.0733,      99       1.6807       2.2539,      99       1.4906       4.5912,      99       1.7062       5.0280,      99       1.5451       2.9057,      99       2.5091       2.6378
     100       2.1637       1.6551,     100       1.4612       4.1267,     100       1.7998       4.8046,     100       1.5941       2.6835,     100       2.4718       2.0889,     100       1.6726       2.2018,     100       1.6867       4.9673,     100       1.6097       4.7853,     100       1.8977       2.9758,     100       2.0253       2.6112
